<<<<<<< HEAD
cause_of_death,CartoDB_Cause_of_death,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",route
drowned,drowning or exhaustion related death,4Q2004,2004 -- 11,2004.0,0.0,0.0,16.0,"drowned when their two boats capsized in a storm on the way to Italy (Nov 1, 2004)",Africa to Italy,36.239546,13.007813,"36.239546, 13.007813",Central Mediterranean Route
asphyxiated,drowning or exhaustion related death,4Q2004,2004 -- 11,2004.0,0.0,0.0,1.0,"Boy dies suffocated, he was hiding in a Dutch container loaded on a ferry greek direct to Ancona (Nov 2, 2004)",ancona,43.61583,13.518915,"43.61583, 13.518915",Unknown
drowned,drowning or exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"drowned, found dead near Licata (I) (Oct 27, 2004)",licata,37.101709,13.937331,"37.101709, 13.937331",Central Mediterranean Route
lack of medical care,drowning or exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"born dead, thrown overboard before Maltese rescue team arrived (Oct 22, 2004)",Africa to Italy,36.239546,13.007813,"36.239546, 13.007813",Central Mediterranean Route
drowned,drowning or exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"Found south of Tarfaya the bodies of 26 young men drowned in a shipwreck (Oct 17, 2004)",tarfaya,27.93556,-12.91871,"27.93556, -12.91871",Western African route
unknown,unknown - supposedly exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,28.0,"dead bodies found near Tarfaya (Ma) (Oct 14, 2004)",tarfaya,27.93556,-12.91871,"27.93556, -12.91871",Western African route
unknown,unknown - supposedly exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,2.0,"Shipwreck off Lampedusa: 1 dead, 1 missing (Oct 15, 2004)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
suicide - hanged,suicide,4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"suicide, found hanged in his cell at Leicester prison (GB). (Oct 14, 2004)",leicester,52.636878,-1.139759,"52.636878, -1.139759",Unknown
drowned,drowning or exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"reportedly drowned after boat capsized 70 miles from Malta (Oct 13, 2004)",malta,35.937496,14.375416,"35.937496, 14.375416",Central Mediterranean Route
drowned,drowning or exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"drowned after boat capsized 70 miles from Malta (Oct 13, 2004)",malta,35.937496,14.375416,"35.937496, 14.375416",Central Mediterranean Route
suicide - hanged,suicide,4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"suicide, found hanged at his home in Sheffield (GB) after asylum claim was refused (Oct 13, 2004)","Sheffield, uk",53.381129,-1.470085,"53.381129, -1.470085",Unknown
drowned,drowning or exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,3.0,"drowned after boat carrying 17 people sank off Samos (GR) (Oct 11, 2004)",samos,37.743215,26.820351,"37.743215, 26.820351",Eastern Mediterranean route
illness,drowning or exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"died in S.G.Hospital (London, GB) while in detention, reportedly of cancer (Oct 11, 2004)",london,51.511214,-0.119824,"51.511214, -0.119824",Unknown
drowned,drowning or exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,7.0,"reportedly drowned, after boat  from Africa capsized in Aegean Sea (Oct 10, 2004)",aegean,37.075546,25.520736,"37.075546, 25.520736",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,9.0,"drowned, after boat  from Africa capsized in Aegean Sea (Oct 10, 2004)",aegean,37.075546,25.520736,"37.075546, 25.520736",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"reportedly drowned, found at border of Playa de la Hopica (E) and Beni-Enzar (MA) (Oct 8, 2004)",enzar,35.256944,-2.934167,"35.256944, -2.934167",Western Mediterranean route
car accident,"violent accidental death (transport, blown in minefield...)",4Q2004,2004 -- 10,2004.0,0.0,0.0,12.0,"The Libyan authorities claim to have returned to Niger in September, about 5,000 illegal immigrants in trucks. According to the gendarmerie of Agadez (Niger), in a crash in the Sahara 12 people died and 50 were seriously injured (Oct 8, 2004)",agadez,16.966667,7.983333,"16.966667, 7.983333",Unknown
unknown,unknown - supposedly exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,2.0,"Shipwreck off Bizerbe, 2 missing (Oct 7, 2004)","Bizerte, tunisia",37.27626,9.873071,"37.27626, 9.873071",Central Mediterranean Route
murdered,malicious intent related death / manslaughter,4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"killed in Mogadishu (Somalia) after deportation from NL (Oct 5, 2004)",mogadishu,2.033333,45.35,"2.033333, 45.35",Unknown
blown in minefield,"violent accidental death (transport, blown in minefield...)",4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"Minefield in Evros, greek-turkish border. An explosion ago 1 dead. He tried to enter illegally in Greece (Oct 6, 2004)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
suicide - other,suicide,4Q2004,2004 -- 10,2004.0,0.0,0.0,1.0,"suicide, overdose of pills, mentally ill refugees, help not provided by social workers (Oct 4, 2004)",Germany,51.165691,10.451526,"51.165691, 10.451526",Unknown
drowned,drowning or exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,30.0,"drowned on the way from Libya to Italy (Oct 3, 2004)",libya,26.3351,17.228331,"26.3351, 17.228331",Central Mediterranean Route
unknown,unknown - supposedly exhaustion related death,4Q2004,2004 -- 10,2004.0,0.0,0.0,64.0,"Shipwreck off the coast of Chott Meriem: 62 bodies recovered, 2 missing (Oct 3, 2004)","Chott Meriem, tunisia",35.91507,10.560222,"35.91507, 10.560222",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,14.0,"reportedly drowned, after boat sank in stormy sea near Rafina (GR) (Jan 29, 2004)",rafina,38.023446,24.005924,"38.023446, 24.005924",Eastern Mediterranean route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,5.0,"drowned, discovered near Rafina (GR) after their boat sank in stormy sea  (Jan 29, 2004)",rafina,38.023446,24.005924,"38.023446, 24.005924",Eastern Mediterranean route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,5.0,"drowned when trying to swim across river Evros between Turkey and Greece (Jan 29, 2004)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
hypothermia,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,5.0,"frozen to death during blizzard, trying to cross Turkish-Greek border near Feres (Jan 29, 2004). From Del Grande's data set (translated): 5 dead bodies found in Thrace, near the turkish border, died of cold in a snow storm while trying to illegally cross the border on foot (Jan 30, 2004)",Thrace,42,26,"42, 26",Eastern Mediterranean route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,5.0,"drowned, bodies found off Karystos (GR), boat sank in stormy waters (Jan 28, 2004)",karystos,38.013999,24.419899,"38.013999, 24.419899",Eastern Mediterranean route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,14.0,"reportedly drowned, after boat sank off Karystos (GR) (Jan 28, 2004). From Del Grande's data set (translated): During a storm sinks boat of migrants off the coast of Evia. Recovered 4 dead, 14 missing (Jan 29, 2004)",evia,38.523604,23.858474,"38.523604, 23.858474",Eastern Mediterranean route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,4.0,"drowned, boat sank on way from Libya to Italy, found by coast guards (Jan 24, 2004)",libya,26.3351,17.228331,"26.3351, 17.228331",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,11.0,"reportedly drowned, boat sank on way from Libya to Italy (Jan 23, 2004)",libya,26.3351,17.228331,"26.3351, 17.228331",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"dead body found in Fuerteventura's waters (E), reportedly from an old shipwreck  (Jan 20, 2004). From Del Grande's data set (translated): Found on the beaches of the island of Fuerteventura, Canary Islands, the corpse in an advanced state of decomposition of a drowned man (Jan 19, 2004)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"reportedly drowned, found dead near Lampedusa (I) (Jan 20, 2004)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,3.0,"drowned, after boat capsized off the coast of Fuerteventura (E)  (Jan 17, 2004)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,3.0,"reportedly drowned, boat capsized off Fuerteventura (E) on way from Africa (Jan 15, 2004)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,16.0,"drowned, boat capsized on reef off Fuerteventura (E) on way from Africa (Jan 15, 2004). From Del Grande's data set (translated): Shipwreck off the coast of Fuerteventura, 16 deaths and 3 missing (Jan 17, 2004)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
unknown,unknown - supposedly exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,21.0,"Near Durres wrecked a boat party from Vlora. 21 dead, 11 survivors, many missing. A second boat bound for Italy has lost all trace (Jan 12, 2004)",vlora,40.471882,19.490219,"40.471882, 19.490219",Unknown
died after a fight,malicious intent related death / manslaughter,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"died after being beaten up at French airport for not having visa from Hungary (Jan 10, 2004)",hungary,47.162494,19.503304,"47.162494, 19.503304",Western Balkan route
car accident,"violent accidental death (transport, blown in minefield...)",1Q2004,2004 -- 1,2004.0,0.0,0.0,50.0,"road accident, crushed in a truck that overturned in Dirkou, Niger, heading for LY border (Jan 9, 2004)",niger,17.607789,8.081666,"17.607789, 8.081666",Unknown
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,30.0,"missing, reportedly drowned near Lampedusa (I) (Jan 9, 2004)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,6.0,"reportedly drowned, after shipwreck between Capo Bon (TN) and Pantelleria (I) (Jan 8, 2004)",pantelleria,36.828221,11.940496,"36.828221, 11.940496",Central Mediterranean Route
suicide - hanged,suicide,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"suicide, found hanged in his cell in Bellinzone (CH) (Jan 8, 2004)","Bellinzone, switzerland",46.198494,9.026918,"46.198494, 9.026918",Unknown
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,5.0,"drowned after dinghy capsized on way from Libya to Italy  (Jan 7, 2004)",libya,26.3351,17.228331,"26.3351, 17.228331",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"drowned, after shipwreck off the coast of Libya (Jan 7, 2004)",libya,26.3351,17.228331,"26.3351, 17.228331",Central Mediterranean Route
asphyxiated,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"stowaway, dead body found in a car in Cadiz (E) (Jan 7, 2004)",cadiz,36.527061,-6.288596,"36.527061, -6.288596",Western Mediterranean route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,23.0,"reportedly drowned near Zelid (LY) (Jan 7, 2004)",zelid,40.3,35.883333,"40.3, 35.883333",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,18.0,"drowned, found dead near Zelid (LY) (Jan 7, 2004)",zelid,40.3,35.883333,"40.3, 35.883333",Central Mediterranean Route
police violence,authorities related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"died after police s use of teargas, circumstances not clear  (Jan 7, 2004)",Austria,47.516231,14.550072,"47.516231, 14.550072",Unknown
suicide - jumped from building,suicide,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"suicide, jumped off a bridge at Coventry shopping cr.(GB), suffered from depression (Jan 7, 2004)","Coventry, UK",52.406822,-1.519693,"52.406822, -1.519693",Unknown
asphyxiated,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"stowaway, presumly died in cargo ship ""Victoria"", his body removed near Casablanca (Jan 6, 2004)",casablanca,33.533333,-7.583333,"33.533333, -7.583333",Western Mediterranean route
suicide - hanged,suicide,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"suicide, found hanged in prison in Ivrea (I) (Jan 6, 2004)","Ivrea, Italy",45.467276,7.880059,"45.467276, 7.880059",Unknown
shot by the police,authorities related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"shot by the police in Purmerend (NL) in front of his flat (Jan 6, 2004)","Purmerend, Netherlands",52.514382,4.964061,"52.514382, 4.964061",Unknown
suicide - other,suicide,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"suicide under psychiatric care at Akademiska S. in Uppsala after reject. of as.appl. (Jan 6, 2004)",Uppsala,59.858564,17.638927,"59.858564, 17.638927",Unknown
murdered,malicious intent related death / manslaughter,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"killed by other clan after deportation from DK to Mogadishu (Somalia)  (Jan 5, 2004)",mogadishu,2.033333,45.35,"2.033333, 45.35",Unknown
unknown,unknown - supposedly exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"died in Haslar Centre-Gosport (GB) of the  injures sustained after arrest (Jan 4, 2004)",haslar,50.787551,-1.124062,"50.787551, -1.124062",Unknown
suicide - hanged,suicide,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"suicide, found hanged in Barlinnie - Scotland (GB) in fear of deportation (Jan 4, 2004)",scotland,56.490671,-4.202646,"56.490671, -4.202646",Unknown
starved,drowning or exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,12.0,"died being fourteen days at sea without food and water in Gibraltar Strait (Jan 3, 2004)",gibraltar,36.140751,-5.353585,"36.140751, -5.353585",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,1Q2004,2004 -- 1,2004.0,0.0,0.0,2.0,"Port of Pasaia. Found the bodies of two young people who died in a compartment of the hold where they had hidden on a cargo ship departed from Cameroon (Jan 3, 2004)",pasaia,43.32547,-1.93014,"43.32547, -1.93014",Unknown
suicide - hanged,suicide,1Q2004,2004 -- 1,2004.0,0.0,0.0,1.0,"suicide, found hanged in prison in Lachen (CH)  (Jan 1, 2004)","Lachen, Switzerland",47.19133,8.856004,"47.19133, 8.856004",Unknown
asphyxiated,drowning or exhaustion related death,3Q2003,2003 -- 9,2003.0,0.0,0.0,2.0,"Suffocated two men hidden in a cargo ship Ivorian live in La Coruna (Oct 1, 2003)",coruna,43.362344,-8.41154,"43.362344, -8.41154",Unknown
drowned,drowning or exhaustion related death,3Q2003,2003 -- 9,2003.0,0.0,0.0,3.0,"Hidden in containers of a cargo ship departed from Guinea, plunge into the sea arrived in the port of Le Havre, 3 drowned (Oct 1, 2003)",havre,49.49437,0.107929,"49.49437, 0.107929",Unknown
blown in minefield,"violent accidental death (transport, blown in minefield...)",3Q2003,2003 -- 9,2003.0,0.0,0.0,7.0,"died in minefield trying to cross the Turkish-Greek border (Sep 28, 2003). From Del Grande's data set (translated): Minefield in Evros, greek-turkish border. An explosion ago 7 deaths. They tried to enter illegally in Greece (Sep 30, 2003)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
shot by the police,authorities related death,3Q2003,2003 -- 9,2003.0,0.0,0.0,1.0,"shot to death by border guard while trying to cross Albanian-Greek border (Sep 22, 2003). From Del Grande's data set (translated): Eighteen year old fatally shot by Greek police while trying to cross the border of Albania (Sep 23, 2003)",albania,41.153332,20.168331,"41.153332, 20.168331",Unknown
drowned,drowning or exhaustion related death,3Q2003,2003 -- 9,2003.0,0.0,0.0,2.0,"drowned, while trying to swim from Morocco to Ceuta (E/MA) (Sep 17, 2003). From Del Grande's data set (translated): Found the body of a girl drowned on a beach in Ceuta (Sep 18, 2003)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2003,2003 -- 9,2003.0,0.0,0.0,1.0,"Rescued a ship off the island of Lesbos, at least one woman dies (Sep 18, 2003)",lesbos,39.16408,26.372171,"39.16408, 26.372171",Eastern Mediterranean route
car accident,"violent accidental death (transport, blown in minefield...)",3Q2003,2003 -- 9,2003.0,0.0,0.0,1.0,"Kurd, asylum seeker died in minibus collision while illegaly in Great Britain (Sep 17, 2003)",Great Britain,55.378051,-3.435973,"55.378051, -3.435973",Unknown
frozen,"violent accidental death (transport, blown in minefield...)",3Q2003,2003 -- 9,2003.0,0.0,0.0,1.0,"stowaway, frozen to death in undercarriage of Brazzaville (Congo) - Paris (F) flight (Sep 9, 2003)",paris,48.856614,2.352222,"48.856614, 2.352222",Unknown
drowned,drowning or exhaustion related death,3Q2003,2003 -- 9,2003.0,0.0,0.0,26.0,"drowned in river Evros on Turkish-Greek border after boat capsized (Sep 8, 2003). From Del Grande's data set (translated): 26 bodies recovered in the Evros River, along the border between Turkey and Greece, among the victims 2 women (Sep 10, 2003)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
drowned,drowning or exhaustion related death,3Q2003,2003 -- 9,2003.0,0.0,0.0,1.0,"Landing in Fuerteventura, Canary Islands. A man falls overboard from a boat and drowned (Sep 8, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
died after a fight,malicious intent related death / manslaughter,3Q2003,2003 -- 9,2003.0,0.0,0.0,1.0,"died in violent confrontation with Moldovians in refugee centre Traiskirchen (A) (Sep 7, 2003)","Traiskirchen, Austria",48.016043,16.293962,"48.016043, 16.293962",Unknown
lack of medical care,drowning or exhaustion related death,3Q2003,2003 -- 9,2003.0,0.0,0.0,1.0,"died of septicaemia at Dover Hospital (GB), after her pleas for a doctor were ignored  (Sep 6, 2003)",dover,51.127876,1.313403,"51.127876, 1.313403",Unknown
hypothermia,drowning or exhaustion related death,3Q2003,2003 -- 8,2003.0,0.0,0.0,6.0,"died of hypopthermia on a Greek boat headed to Italy (Aug 31, 2003)",Greece to Italy,39.587628,18.94043,"39.587628, 18.94043",Apulia and Calabria route
drowned,drowning or exhaustion related death,3Q2003,2003 -- 8,2003.0,0.0,0.0,23.0,"reportedly drowned near S.M. di Leuca (I) in attempt to reach Italy on a Greek boat  (Aug 31, 2003)",leuca,39.801,18.356944,"39.801, 18.356944",Apulia and Calabria route
unknown,unknown - supposedly exhaustion related death,3Q2003,2003 -- 8,2003.0,0.0,0.0,4.0,"Rif Raf and direct game to Lampedusa, an overloaded boat sank off. 2 dead, 2 missing (Aug 31, 2003)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2003,2003 -- 8,2003.0,0.0,0.0,1.0,"reportedly drowned, found dead near Lanzarote (E) (Aug 29, 2003)",lanzarote,29.046854,-13.589973,"29.046854, -13.589973",Western African route
suicide - hanged,suicide,3Q2003,2003 -- 8,2003.0,0.0,0.0,1.0,"suicide, 11 days after being deported from NL to Spain, was mentally ill (schizophrenia) (Aug 29, 2003)",Spain,40.463667,-3.74922,"40.463667, -3.74922",Western Mediterranean route
asphyxiated,drowning or exhaustion related death,3Q2003,2003 -- 8,2003.0,0.0,0.0,1.0,"stowaway, coming from Greece found dead in back of truck near Rimini (I) (Aug 25, 2003). From Del Grande's data set (translated): Tucked away in a car aboard a ferry to Brindisi greek, a man dies poisoned by exhaust fumes that had filled the hold (Aug 28, 2003)",brindisi,40.632728,17.941762,"40.632728, 17.941762",Apulia and Calabria route
died after a fight,malicious intent related death / manslaughter,3Q2003,2003 -- 8,2003.0,0.0,0.0,1.0,"died after fight with another asylum seeker in asylum centre Harlingen (NL) (Aug 22, 2003)",harlingen,53.174638,5.425152,"53.174638, 5.425152",Unknown
heart failure,drowning or exhaustion related death,3Q2003,2003 -- 8,2003.0,0.0,0.0,1.0,"died of a heart attack after his arrival at refugee centre in Lampedusa (I)  (Aug 17, 2003). From Del Grande's data set (translated): Landed the day before in Lampedusa, a man dies of a heart attack in the reception center of the island (Aug 18, 2003)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
car accident,"violent accidental death (transport, blown in minefield...)",3Q2003,2003 -- 8,2003.0,0.0,0.0,1.0,"In Dorset, is found dead in a truck, crushed by a container, where it was hidden to arrive in England (Aug 18, 2003)",england,52.355518000000004,-1.17432,"52.355518, -1.17432",Unknown
drowned,drowning or exhaustion related death,3Q2003,2003 -- 8,2003.0,0.0,0.0,1.0,"drowned, body found near Tarifa (E) between rocks, 2.5 meters under sea level (Aug 16, 2003)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",Western Mediterranean route
crushed,"violent accidental death (transport, blown in minefield...)",3Q2003,2003 -- 8,2003.0,0.0,0.0,1.0,"kurd, stowaway, crushed to death in lorry going from France to Poole (GB) (Aug 16, 2003)",france,46.227638,2.213749,"46.227638, 2.213749",Unknown
drowned,drowning or exhaustion related death,3Q2003,2003 -- 8,2003.0,0.0,0.0,5.0,"drowned, trafficker made hole in boat on way from Ayvalik (TR) to Lesbos (GR) (Aug 13, 2003). From Del Grande's data set (translated): Vessel sinks overloaded Direct in Greece, having capsized off the coast of Lesbos. 5 dead and 10 missing (Aug 14, 2003)",lesbos,39.16408,26.372171,"39.16408, 26.372171",Eastern Mediterranean route
drowned,drowning or exhaustion related death,3Q2003,2003 -- 8,2003.0,0.0,0.0,5.0,"drowned, body found on a beach near Edremit (TR) (Aug 12, 2003)",edremit,38.42,43.25,"38.42, 43.25",Unknown
died from dehydration,drowning or exhaustion related death,3Q2003,2003 -- 8,2003.0,0.0,0.0,23.0,"Death of dehydration in the desert 1600 km south of Algiers, in Tamanrasset to Assuf Mellane, 23 people, including 11 women, were directed towards the Mediterranean into Europe, (Aug 3, 2003)",algiers,36.752887,3.042048,"36.752887, 3.042048",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,10.0,"Shipwreck off the coast of Fuerteventura, in the Canary Islands. Recovered 10 dead bodies along the coasts of the island (Aug 1, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
unknown,unknown - supposedly exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,1.0,"died after being run down while attempting to hide under a coach in Ceuta (E/MA) (Jul 31, 2003)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
exhaustion,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,3.0,"died of exhaustion after journey through mountains between Slovakia-Ukraine (Jul 31, 2003)",slovakia,48.669026,19.699024,"48.669026, 19.699024",Unknown
drowned,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,15.0,"drowned after boat capsized near Canary Island of Fuerteventura (E) (Jul 30, 2003). From Del Grande's data set (translated): Boat capsizes off the coast of Fuerteventura, 15 people die. 14 are lost at sea, 1 corpse was spotted five days later by a vessel (Aug 1, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
drowned,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,1.0,"drowned off the coast of Fuerteventura in the Canary Islands (E) (Jul 27, 2003). From Del Grande's data set (translated): 1 found dead on the coast of Fuerteventura (Jul 29, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
starved,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,1.0,"died of thirst, body found hanging from train in railway station of Gorizia (I) (Jul 26, 2003). From Del Grande's data set (translated): Found the body of a man who died of starvation at the train station of Gorizia on a freight car was traveling hidden (Jul 27, 2003)",gorizia,45.940181,13.620175,"45.940181, 13.620175",Western Balkan route
drowned,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,1.0,"drowned off the coast of Fuerteventura in the Canary Islands (E) (Jul 24, 2003). From Del Grande's data set (translated): 1 found dead on the coast of Fuerteventura (Jul 29, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
drowned,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,21.0,"drowned, found dead off the coast of Libya (Jul 18, 2003)",libya,26.3351,17.228331,"26.3351, 17.228331",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,25.0,"drowned, after two shipwrecks occured near Sur de Aiun (MA) (Jul 17, 2003). From Del Grande's data set (translated): Shipwreck in the waters of Layun, 25 dead (Jul 18, 2003)",aiun,27.153611,-13.203333,"27.153611, -13.203333",Western African route
asphyxiated,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,1.0,"soffocated after police maltreatments and physical abuse in Vienna (A) (Jul 14, 2003)",vienna,48.208174,16.373819,"48.208174, 16.373819",Unknown
drowned,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,2.0,"Found in the waters of the English Channel, the bodies of two men drowned during the crossing to England (Jul 15, 2003)",england,52.355518000000004,-1.17432,"52.355518, -1.17432",Unknown
drowned,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,30.0,"reportedly drowned, after shipwreck near Barranco Hondo-Tarifa (E) (Jul 13, 2003)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",Western Mediterranean route
drowned,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,5.0,"drowned after shipwreck near Barranco H.-Tarifa (E), bodies found by Guardia Civil (Jul 13, 2003). From Del Grande's data set (translated): Found on the beaches of Barranco Hondo, in Tarifa, the bodies of three men drowned (Jul 14, 2003)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",Western Mediterranean route
drowned,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,8.0,"died of starvation in a small boat, set to arrive in Motril (E) (Jul 10, 2003)","Motril, spain",36.748374,-3.516861,"36.748374, -3.516861",Western Mediterranean route
starved,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,2.0,"died frozen in a boat carrying about 40 migrants to Motril (E)  (Jul 10, 2003)","Motril, spain",36.748374,-3.516861,"36.748374, -3.516861",Western Mediterranean route
drowned,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,1.0,"drowned, fell overboard after boat intercepted by coastguard near Fuerteventura (E) (Jul 8, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
murdered,malicious intent related death / manslaughter,3Q2003,2003 -- 7,2003.0,0.0,0.0,1.0,"murdered by partner in Harmondsworth detention centre (GB), awaiting deportation (Jul 4, 2003)",harmondsworth,51.487453,-0.475554,"51.487453, -0.475554",Unknown
drowned,drowning or exhaustion related death,3Q2003,2003 -- 7,2003.0,0.0,0.0,18.0,"reportedly drowned after being lost at sea near Fuerteventura (E) (Jul 1, 2003)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",Western African route
