location,event_year,route,causal,reason,value
Greece,2006,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,1
Greece,2006,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,6
Greece,2007,Circular Route from Greece and Albania,unknown - supposedly exhaustion related death,unknown,2
Greece,2007,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,1
Greece,2007,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",car accident,1
Greece,2007,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",fall,1
Greece,2008,Eastern Mediterranean Route,authorities related death,police violence,1
Greece,2008,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,8
Greece,2008,Eastern Mediterranean Route,drowning or exhaustion related death,frozen,2
Greece,2008,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,8
Greece,2008,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",car accident,1
Greece,2009,Eastern Mediterranean Route,authorities related death,police violence,1
Greece,2009,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,23
Greece,2009,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,2
Greece,2010,Eastern Borders Route,drowning or exhaustion related death,frozen,3
Greece,2010,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,71
Greece,2010,Eastern Mediterranean Route,other,killed by bomb,1
Greece,2011,Eastern Mediterranean Route,authorities related death,shot by the police,1
Greece,2011,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,9
Greece,2011,Eastern Mediterranean Route,drowning or exhaustion related death,frozen,7
Greece,2011,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,3
Greece,2011,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",car accident,1
Greece,2012,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,3
Greece,2012,Eastern Mediterranean Route,drowning or exhaustion related death,frozen,6
Greece,2012,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,17
Greece,2012,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",car accident,2
Greece,2013,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,13
Greece,2014,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,1
Greece,2014,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,4
Greece,2015,Apulia and Calabria Route,"violent accidental death (transport, blown in minefield, etc)",run over by a bus,1
Greece,2015,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",run over by a train,1
Guine,2014,Western African Route,drowning or exhaustion related death,drowned,38
Hungary,2002,Western Balkan Route,suicide,suicide - other,1
Hungary,2004,Western Balkan Route,malicious intent related death / manslaughter,died after a fight,1
Hungary,2009,Eastern Borders Route,drowning or exhaustion related death,drowned,16
Hungary,2009,Western Balkan Route,drowning or exhaustion related death,drowned,1
Hungary,2015,Central European Route,"violent accidental death (transport, blown in minefield, etc)",fall,1
Hungary,2015,Central European Route,"violent accidental death (transport, blown in minefield, etc)",run over by a car,1
Italy,2000,Apulia and Calabria Route,drowning or exhaustion related death,asphyxiated,2
Italy,2000,Apulia and Calabria Route,drowning or exhaustion related death,drowned,62
Italy,2000,Apulia and Calabria Route,malicious intent related death / manslaughter,murdered,1
Italy,2000,Apulia and Calabria Route,unknown - supposedly exhaustion related death,unknown,14
Italy,2000,Apulia and Calabria Route,"violent accidental death (transport, blown in minefield, etc)",crushed,3
Italy,2000,Apulia and Calabria Route,"violent accidental death (transport, blown in minefield, etc)",fall,1
Italy,2000,Central Mediterranean Route,drowning or exhaustion related death,drowned,7
Italy,2001,Apulia and Calabria Route,drowning or exhaustion related death,asphyxiated,2
Italy,2001,Apulia and Calabria Route,drowning or exhaustion related death,drowned,19
Italy,2001,Apulia and Calabria Route,malicious intent related death / manslaughter,murdered,12
Italy,2001,Apulia and Calabria Route,unknown - supposedly exhaustion related death,unknown,4
Italy,2001,Central Mediterranean Route,drowning or exhaustion related death,drowned,4
Italy,2002,Apulia and Calabria Route,drowning or exhaustion related death,asphyxiated,4
Italy,2002,Apulia and Calabria Route,drowning or exhaustion related death,drowned,28
Italy,2002,Apulia and Calabria Route,unknown - supposedly exhaustion related death,unknown,10
Italy,2002,Central Mediterranean Route,drowning or exhaustion related death,drowned,1
Italy,2002,Western Balkan Route,drowning or exhaustion related death,drowned,1
Italy,2003,Apulia and Calabria Route,drowning or exhaustion related death,asphyxiated,1
Italy,2003,Apulia and Calabria Route,drowning or exhaustion related death,drowned,23
Italy,2003,Apulia and Calabria Route,drowning or exhaustion related death,hypothermia,29
Italy,2003,Apulia and Calabria Route,unknown - supposedly exhaustion related death,unknown,29
Italy,2003,Western Balkan Route,drowning or exhaustion related death,starved,1
Italy,2005,Apulia and Calabria Route,malicious intent related death / manslaughter,"wrong medical treatment, overdose",1
Italy,2005,Apulia and Calabria Route,suicide,suicide - jumped from building,1
Italy,2005,Central Mediterranean Route,drowning or exhaustion related death,drowned,29
Italy,2005,Central Mediterranean Route,malicious intent related death / manslaughter,murdered,9
Italy,2006,Apulia and Calabria Route,unknown - supposedly exhaustion related death,unknown,8
Italy,2006,Central Mediterranean Route,drowning or exhaustion related death,drowned,6
Italy,2006,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,4
Italy,2007,Apulia and Calabria Route,drowning or exhaustion related death,drowned,25
Italy,2007,Central Mediterranean Route,drowning or exhaustion related death,starved,3
Italy,2008,Apulia and Calabria Route,unknown - supposedly exhaustion related death,unknown,1
Italy,2008,Central Mediterranean Route,drowning or exhaustion related death,drowned,1
Italy,2009,Apulia and Calabria Route,"violent accidental death (transport, blown in minefield, etc)",fall,2
Italy,2009,Central Mediterranean Route,drowning or exhaustion related death,frozen,1
Italy,2009,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,1
Italy,2010,Apulia and Calabria Route,drowning or exhaustion related death,drowned,4
Italy,2010,Apulia and Calabria Route,unknown - supposedly exhaustion related death,unknown,2
Italy,2011,Apulia and Calabria Route,drowning or exhaustion related death,drowned,83
Italy,2011,Apulia and Calabria Route,malicious intent related death / manslaughter,shot,1
Italy,2011,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,43
Italy,2012,Apulia and Calabria Route,drowning or exhaustion related death,drowned,8
Italy,2013,Apulia and Calabria Route,drowning or exhaustion related death,died in childbirth,2
Italy,2013,Apulia and Calabria Route,drowning or exhaustion related death,illness,1
Italy,2013,Central Mediterranean Route,drowning or exhaustion related death,drowned,10
Italy,2014,Central Mediterranean Route,drowning or exhaustion related death,drowned,79
Italy,2014,Central Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",crushed,1
Italy,2015,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,36
Lampedusa,2002,Central Mediterranean Route,drowning or exhaustion related death,drowned,12
Lampedusa,2002,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,107
Lampedusa,2003,Central Mediterranean Route,drowning or exhaustion related death,drowned,86
Lampedusa,2003,Central Mediterranean Route,drowning or exhaustion related death,heart failure,1
Lampedusa,2003,Central Mediterranean Route,drowning or exhaustion related death,starved,29
Lampedusa,2003,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,18
Lampedusa,2004,Central Mediterranean Route,drowning or exhaustion related death,drowned,32
Lampedusa,2004,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,2
Lampedusa,2005,Central Mediterranean Route,drowning or exhaustion related death,drowned,18
Lampedusa,2005,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,6
Lampedusa,2006,Central Mediterranean Route,drowning or exhaustion related death,drowned,124
Lampedusa,2006,Central Mediterranean Route,drowning or exhaustion related death,starved,17
Lampedusa,2006,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,268
Lampedusa,2007,Central Mediterranean Route,drowning or exhaustion related death,died from dehydration,34
Lampedusa,2007,Central Mediterranean Route,drowning or exhaustion related death,drowned,160
Lampedusa,2007,Central Mediterranean Route,drowning or exhaustion related death,starved,27
Lampedusa,2007,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,47
Lampedusa,2008,Central Mediterranean Route,drowning or exhaustion related death,drowned,78
Lampedusa,2008,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,31
Lampedusa,2009,Central Mediterranean Route,drowning or exhaustion related death,drowned,67
Lampedusa,2009,Central Mediterranean Route,drowning or exhaustion related death,frozen,9
Lampedusa,2009,Central Mediterranean Route,drowning or exhaustion related death,starved,72
Lampedusa,2009,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,7
Lampedusa,2010,Central Mediterranean Route,drowning or exhaustion related death,drowned,2
Lampedusa,2010,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,3
Lampedusa,2011,Central Mediterranean Route,drowning or exhaustion related death,asphyxiated,25
Lampedusa,2011,Central Mediterranean Route,drowning or exhaustion related death,drowned,1925
Lampedusa,2011,Central Mediterranean Route,drowning or exhaustion related death,lack of medical care,1
Lampedusa,2011,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,104
Lampedusa,2012,Central Mediterranean Route,drowning or exhaustion related death,drowned,103
Lampedusa,2012,Central Mediterranean Route,drowning or exhaustion related death,starved,64
Lampedusa,2012,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,5
Lampedusa,2013,Central Mediterranean Route,drowning or exhaustion related death,drowned,352
Lampedusa,2013,Central Mediterranean Route,drowning or exhaustion related death,drowned,34
Lampedusa,2014,Central European Route,drowning or exhaustion related death,asphyxiated,19
Lampedusa,2014,Central Mediterranean Route,drowning or exhaustion related death,drowned,312
Lampedusa,2014,Central Mediterranean Route,drowning or exhaustion related death,hypothermia and dehydration,17
Lampedusa,2014,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,18
Lampedusa,2014,Central Mediterranean Route,drowning or exhaustion related death,drowned,4
